Date,Body fat(%),Sleep(hours),Heart rate(bpm),Weight(lbs)
2018-10-15,,,92.0,
2018-10-16,,,51.0,
2018-10-17,,,56.0,
2018-10-18,,,58.0,
2018-10-19,,,57.0,
2018-10-20,,,85.0,
2018-10-21,,,51.0,
2018-10-22,,,56.0,
2018-10-23,,,55.0,
2018-10-24,,,51.0,
2018-10-25,,,54.0,
2018-10-26,,,60.0,
2018-10-27,,,57.0,
2018-10-28,,,69.0,
2018-10-29,,,51.0,
2018-10-30,,,66.0,
2018-10-31,,,68.0,
2018-11-01,,,67.0,
2018-11-02,,,55.0,169.0
2018-11-03,,,62.0,
2018-11-04,,,56.0,167.0
2018-11-05,,,88.0,169.0
2018-11-06,,,63.0,
2018-11-07,,,54.0,170.0
2018-11-08,,,60.0,171.0
2018-11-09,,,90.0,
2018-11-10,,,101.0,170.0
2018-11-11,,,67.0,169.0
2018-11-12,,,62.0,
2018-11-13,,,59.0,168.0
2018-11-14,,,57.0,
2018-11-15,,,61.0,
2018-11-16,,,103.0,
2018-11-17,,,67.0,
2018-11-18,,,54.0,170.0
2018-11-19,,,63.0,169.0
2018-11-20,,,52.0,
2018-11-21,,,51.0,167.0
2018-11-22,,,54.0,
2018-11-23,,,65.0,
2018-11-24,,,62.0,
2018-11-25,,,57.0,169.0
2018-11-26,,,58.0,170.0
2018-11-27,,,57.0,171.0
2018-11-28,,,63.0,171.0
2018-11-29,,,58.0,169.0
2018-11-30,,,66.0,171.0
2018-12-01,,,55.0,169.0
2018-12-02,,,59.0,167.0
2018-12-03,,,52.0,
2018-12-04,,,57.0,
2018-12-05,,,57.0,
2018-12-06,,,57.0,
2018-12-07,,,63.0,
2018-12-08,,,61.0,168.0
2018-12-09,,,55.0,
2018-12-10,,,56.0,
2018-12-11,,,57.0,
2018-12-12,,,,
2018-12-13,,,66.0,
2018-12-14,,,64.0,
2018-12-15,,,,170.0
2018-12-16,,,55.0,170.0
2018-12-17,,,67.0,171.0
2018-12-18,,,67.0,
2018-12-19,,,62.0,170.0
2018-12-20,,,49.0,
2018-12-21,,,54.0,170.0
2018-12-22,,,68.0,170.0
2018-12-23,,,67.0,
2018-12-24,,,63.0,
2018-12-25,,,57.0,
2018-12-26,,,63.0,170.0
2018-12-27,,,60.0,
2018-12-28,,,55.0,
2018-12-29,,,57.0,171.0
2018-12-30,,,65.0,169.0
2018-12-31,,,57.0,169.0
2019-01-01,,,62.0,
2019-01-02,,,60.0,
2019-01-03,,,60.0,
2019-01-04,,,54.0,171.0
2019-01-05,,,52.0,172.0
2019-01-06,,,74.0,171.0
2019-01-07,,,53.0,169.0
2019-01-08,,,61.0,
2019-01-09,,,54.0,
2019-01-10,,,54.0,
2019-01-11,,,66.0,
2019-01-12,,,64.0,169.0
2019-01-13,,,,
2019-01-14,,,57.0,
2019-01-15,,,56.0,
2019-01-16,,,74.0,170.0
2019-01-17,,,59.0,170.0
2019-01-18,,,79.0,
2019-01-19,,,52.0,167.0
2019-01-20,,,56.0,
2019-01-21,,,62.0,169.0
2019-01-22,,,54.0,
2019-01-23,,,64.0,
2019-01-24,,,64.0,
2019-01-25,,,51.0,
2019-01-26,,,56.0,167.0
2019-01-27,,,54.0,168.0
2019-01-28,,,60.0,
2019-01-29,,,54.0,
2019-01-30,,,50.0,
2019-01-31,,,63.0,168.0
2019-02-01,,,55.0,
2019-02-02,,,56.0,166.0
2019-02-03,,,66.0,168.0
2019-02-04,,,60.0,
2019-02-05,,,67.0,
2019-02-06,,,60.0,
2019-02-07,,,63.0,
2019-02-08,,,45.0,
2019-02-09,,,67.0,
2019-02-10,,,63.0,170.0
2019-02-11,,,60.0,172.0
2019-02-12,,,60.0,170.0
2019-02-13,,,76.0,169.0
2019-02-14,,,54.0,
2019-02-15,,,61.0,
2019-02-16,,,57.0,
2019-02-17,,,60.0,
2019-02-18,,,60.0,
2019-02-19,,,62.0,171.0
2019-02-20,,,56.0,
2019-02-21,,,53.0,
2019-02-22,,,54.0,
2019-02-23,,,61.0,
2019-02-24,,,60.0,169.0
2019-02-25,,,67.0,
2019-02-26,,,71.0,172.0
2019-02-27,,,55.0,
2019-02-28,,,48.0,
2019-03-01,,,62.0,
2019-03-02,,,62.0,
2019-03-03,,,74.0,170.0
2019-03-04,,,50.0,
2019-03-05,,,64.0,
2019-03-06,,,65.0,
2019-03-07,,,58.0,
2019-03-08,,,68.0,172.0
2019-03-09,,,65.0,171.0
2019-03-09,,,65.0,169.0
2019-03-10,,,63.0,
2019-03-11,,,63.0,
2019-03-12,,,56.0,171.0
2019-03-13,,,57.0,
2019-03-14,,,59.0,
2019-03-15,,,60.0,
2019-03-16,,,59.0,
2019-03-17,,,64.0,171.0
2019-03-18,,,58.0,
2019-03-19,,,48.0,
2019-03-20,,,56.0,
2019-03-21,,,56.0,170.0
2019-03-22,,,63.0,
2019-03-23,,,54.0,169.0
2019-03-24,,,60.0,170.0
2019-03-25,,,56.0,
2019-03-26,,,54.0,169.0
2019-03-27,,,168.0,168.0
2019-03-28,,,60.0,
2019-03-29,,,63.0,
2019-03-30,,,54.0,168.0
2019-03-31,,,54.0,167.0
2019-04-01,,,64.0,170.0
2019-04-02,,,55.0,
2019-04-03,,,58.0,
2019-04-04,,,72.0,
2019-04-05,,,,
2019-04-06,,,81.0,170.0
2019-04-07,,,100.0,
2019-04-08,,,64.0,
2019-04-09,,,60.0,
2019-04-10,,,64.0,
2019-04-11,,,60.0,171.0
2019-04-12,,,64.0,
2019-04-13,,,70.0,
2019-04-14,,,68.0,
2019-04-15,,,65.0,
2019-04-16,,,66.0,
2019-04-17,,,69.0,
2019-04-18,,,55.0,
2019-04-19,,,56.0,
2019-04-20,,,70.0,171.0
2019-04-21,,,54.0,170.0
2019-04-22,,,59.0,
2019-04-23,,,54.0,
2019-04-24,,,90.0,169.0
2019-04-25,,,59.0,
2019-04-26,,,57.0,
2019-04-27,,,66.0,
2019-04-28,,,58.0,
2019-04-29,,,67.0,
2019-04-30,,,50.0,171.0
2019-05-01,,,62.0,172.0
2019-05-02,,,57.0,169.0
2019-05-03,,,73.0,169.0
2019-05-03,,,73.0,168.0
2019-05-04,,,53.0,166.0
2019-05-05,,,73.5632,167.0
2019-05-06,,,,
2019-05-07,,,,
2019-05-08,,,,
2019-05-09,,,,
2019-05-10,,,,
2019-05-11,,,80.3045,167.0
2019-05-12,,,72.3781,168.0
2019-05-13,,,65.0,
2019-05-14,,,52.0,
2019-05-15,,,57.0,
2019-05-16,,,68.6934,
2019-05-17,,,71.7439,
2019-05-18,,,81.4025,169.0
2019-05-19,,,72.768,
2019-05-20,,,82.7321,
2019-05-21,,,76.5443,
2019-05-22,,,81.3613,
2019-05-23,,,70.8835,
2019-05-24,,,67.3634,
2019-05-25,,,67.946,
2019-05-26,,,74.842,
2019-05-27,,,70.6455,
2019-05-28,,,65.8654,
2019-05-29,,,71.3091,
2019-05-30,,,73.7446,
2019-05-31,,,81.6569,167.0
2019-06-01,,,70.0,
2019-06-02,,,52.0,
2019-06-03,,,54.0,
2019-06-04,,,60.0,
2019-06-05,,,55.0,
2019-06-06,,,60.0,
2019-06-07,,,67.0,
2019-06-08,,,,167.0
2019-06-09,,,67.0,168.0
2019-06-10,,,56.0,
2019-06-11,,,63.0,
2019-06-12,,,54.0,
2019-06-13,,,60.0,
2019-06-14,,,49.0,167.0
2019-06-15,,,60.0,165.0
2019-06-16,,,63.0,164.0
2019-06-17,,,57.0,
2019-06-18,,,53.0,
2019-06-19,,,60.0,
2019-06-20,,,57.0,167.0
2019-06-21,,,54.0,166.0
2019-06-22,,,70.0,165.0
2019-06-23,,,63.0,167.0
2019-06-23,,,63.0,165.0
2019-06-24,,,48.0,166.0
2019-06-25,,,54.0,166.0
2019-06-26,,,55.0,
2019-06-27,,,60.0,
2019-06-28,,,58.0,
2019-06-29,,,70.0,166.0
2019-06-30,,,59.0,166.0
2019-07-01,,,60.0,168.0
2019-07-02,,,56.0,167.0
2019-07-03,,,55.0,
2019-07-04,,,77.0,164.0
2019-07-05,,,54.0,
2019-07-06,,,63.0,165.0
2019-07-07,,,58.0,164.0
2019-07-08,,,54.0,166.0
2019-07-09,,,54.0,
2019-07-10,,,62.0,
2019-07-11,,,58.0,165.0
2019-07-12,,,57.0,
2019-07-13,,,57.0,165.0
2019-07-14,,,54.0,165.0
2019-07-15,,,62.0,
2019-07-16,,,71.0,
2019-07-17,,,49.0,
2019-07-18,,,72.0,
2019-07-19,,,65.0,
2019-07-20,,,74.0,165.0
2019-07-21,,,54.0,165.0
2019-07-22,,,62.0,166.0
2019-07-23,,,60.0,
2019-07-24,,,51.0,
2019-07-25,,,62.0,
2019-07-26,,,60.0,
2019-07-27,,,51.0,
2019-07-28,,,59.0,
2019-07-29,,,60.0,
2019-07-30,,,58.0,
2019-07-31,,,87.0,
2019-08-01,,,54.0,
2019-08-02,,,55.0,
2019-08-03,,,62.0,
2019-08-04,,,88.0,
2019-08-05,,,58.0,
2019-08-06,,,52.0,
2019-08-07,,,53.0,166.0
2019-08-08,,,63.0,165.0
2019-08-09,,,60.0,
2019-08-10,,,82.0,
2019-08-11,,,64.0,
2019-08-12,,,55.0,166.0
2019-08-13,,,63.0,
2019-08-14,,,66.0,
2019-08-15,,,62.0,
2019-08-16,,,60.0,
2019-08-17,,,63.0,163.0
2019-08-18,,,54.0,164.0
2019-08-19,,,50.0,
2019-08-20,,,59.0,
2019-08-21,,,59.0,
2019-08-22,,,54.0,163.0
2019-08-23,,,62.0,
2019-08-24,,,71.0,
2019-08-25,,,62.0,164.0
2019-08-26,,,101.0,
2019-08-27,,,49.0,165.0
2019-08-28,,,60.0,
2019-08-29,,,54.0,164.0
2019-08-30,,,60.0,
2019-08-31,,,59.0,163.0
2019-09-01,,,60.0,162.0
2019-09-02,,,65.0,163.0
2019-09-03,,,55.0,
2019-09-04,,,58.0,
2019-09-05,,,60.0,
2019-09-06,,,57.0,
2019-09-07,,,56.0,162.0
2019-09-08,,,63.0,163.0
2019-09-09,,,66.0,164.0
2019-09-10,,,57.0,164.0
2019-09-11,,,60.0,164.0
2019-09-12,,,63.0,
2019-09-13,,,63.0,
2019-09-14,,,60.0,163.0
2019-09-15,,,62.0,163.0
2019-09-16,,,49.0,
2019-09-17,,,99.0,
2019-09-18,,,53.0,
2019-09-19,,,46.0,
2019-09-20,,,54.0,
2019-09-21,,,56.0,162.0
2019-09-22,,,52.0,162.0
2019-09-23,,,78.0,
2019-09-24,,,59.0,162.0
2019-09-25,,,70.0,
2019-09-26,,,62.0,
2019-09-27,,,70.0,
2019-09-28,,,58.0,160.0
2019-09-29,,,53.0,
2019-09-30,,,61.0,
2019-10-01,,,51.0,
2019-10-02,,,104.0,
2019-10-03,,,54.0,
2019-10-04,,,,
2019-10-05,,,,
2019-10-06,,,,
2019-10-07,,,66.0,
2019-10-08,,,52.0,
2019-10-09,,,,
2019-10-10,,,,
2019-10-11,,,,
2019-10-12,,,,
2019-10-13,,,,
2019-10-14,,,,
2019-10-15,,,,
2019-10-16,,,,
2019-10-17,,,,
2019-10-18,,,,
2019-10-19,,,,
2019-10-20,,,,
2019-10-21,,,,
2019-10-22,,,,
2019-10-23,,,61.0,
2019-10-24,,,,
2019-10-25,,,,
2019-10-26,,,,
2019-10-27,,,,
2019-10-28,,,,
2019-10-29,,,,
2019-10-30,,,,
2019-10-31,,,,
2019-11-01,,,,
2019-11-02,,,,
2019-11-03,,,,
2019-11-04,,,,
2019-11-05,,,,
2019-11-06,,,,
2019-11-07,,,,
2019-11-08,,,,
2019-11-09,,,,
2019-11-10,,,,
2019-11-11,,,,
2019-11-12,,,,
2019-11-13,,,,
2019-11-14,,,,
2019-11-15,,,,
2019-11-16,,,,
2019-11-17,,,,
2019-11-18,,,,
2019-11-19,,,,
2019-11-20,,,,
2019-11-21,,,,
2019-11-22,,,,
2019-11-23,,,,
2019-11-24,,,,
2019-11-25,,,,
2019-11-26,,,,
2019-11-27,,,,
2019-11-28,,,,
2019-11-29,,,,
2019-11-30,,,,
2019-12-01,,,,
2019-12-02,,,,
2019-12-03,,,,
2019-12-04,,,,
2019-12-05,,,,
2019-12-06,,,,
2019-12-07,,,,
2019-12-08,,,,
2019-12-09,,,,
2019-12-10,,,,
2019-12-11,,,,
2019-12-12,,,,
2019-12-13,,,,
2019-12-14,,,,
2019-12-15,,,,
2019-12-16,,,,
2019-12-17,,,59.0,
2019-12-18,,,60.0,
2019-12-19,,,118.0,
2019-12-20,,,,
2019-12-21,,,,
2019-12-22,,,,
2019-12-23,,,,
2019-12-24,,,,
2019-12-25,,,,
2019-12-26,,,,
2019-12-27,,,,
2019-12-28,,,,
2019-12-29,,,,
2019-12-30,,,58.0,
2019-12-31,,,102.0,
2020-01-01,,,69.0,
2020-01-02,,,62.0,
2020-01-03,,,115.0,
2020-01-04,,,91.0,165.0
2020-01-05,14.6191,,72.0,172.842
2020-01-05,14.6191,,72.0,172.842
2020-01-05,14.6191,,72.0,168.874
2020-01-05,14.6191,,72.0,172.842
2020-01-05,14.6191,,72.0,172.842
2020-01-05,14.6191,,72.0,168.874
2020-01-05,14.166,,72.0,172.842
2020-01-05,14.166,,72.0,172.842
2020-01-05,14.166,,72.0,168.874
2020-01-06,13.9701,,111.0,167.221
2020-01-06,13.9701,,111.0,167.221
2020-01-06,13.9701,,111.0,167.221
2020-01-06,13.9701,,111.0,167.221
2020-01-07,13.8082,,55.0,165.677
2020-01-08,13.8082,,64.0,165.677
2020-01-09,13.6177,,109.0,164.134
2020-01-10,13.6122,,137.0,164.024
2020-01-10,13.6122,,137.0,164.024
2020-01-10,13.6122,,137.0,164.024
2020-01-10,13.6122,,137.0,164.024
2020-01-10,13.6122,,137.0,164.024
2020-01-10,13.6122,,137.0,164.024
2020-01-10,13.6122,,137.0,164.024
2020-01-10,13.6122,,137.0,164.024
2020-01-10,13.6122,,137.0,164.024
2020-01-11,,,110.0,
2020-01-12,,,55.0,
2020-01-13,,,59.0,
2020-01-14,13.702,,93.0,164.685
2020-01-15,13.702,,68.0,164.685
2020-01-16,13.4558,,81.0,162.591
2020-01-17,13.6068,,56.0,163.914
2020-01-18,,,66.0,
2020-01-19,,,83.0,
2020-01-20,,,94.0,
2020-01-21,,,139.0,
2020-01-22,13.8027,,93.0,165.567
2020-01-23,13.6177,,90.0,164.134
2020-01-24,13.7633,,84.0,165.347
2020-01-25,,,71.0,163.0
2020-01-26,,,79.0,
2020-01-27,,,81.0,
2020-01-28,13.7075,,90.0,164.796
2020-01-29,13.9034,,81.0,166.449
2020-01-30,13.6626,,61.0,164.465
2020-01-31,14.1714,,63.0,168.984
2020-02-01,,,90.0,
2020-02-02,,,126.0,164.0
2020-02-03,,,66.0,
2020-02-04,13.5619,,86.0,163.583
2020-02-05,13.6517,,54.0,164.244
2020-02-06,13.4163,,74.0,162.37
2020-02-07,13.4,,63.0,162.04
2020-02-08,13.6177,,75.0,164.134
2020-02-09,,,54.0,
2020-02-10,13.517,,100.0,163.252
2020-02-11,13.6122,,81.0,164.024
2020-02-12,,,60.0,
2020-02-13,13.4163,,75.0,162.37
2020-02-14,,,60.0,
2020-02-15,,,66.0,163.0
2020-02-16,,,81.0,
2020-02-17,,,90.0,
2020-02-18,13.8027,,75.0,165.567
2020-02-19,13.551,,67.0,163.363
2020-02-20,,,87.0,
2020-02-21,,,62.0,
2020-02-22,,,72.0,163.0
2020-02-23,,,69.0,
2020-02-24,,,112.0,
2020-02-25,13.3551,,,161.709
2020-02-26,13.4721,,,162.922
2020-02-27,13.5061,,,163.032
2020-02-28,13.5565,,72.0,163.473
2020-02-29,,,72.0,
2020-03-01,,,66.0,163.8
2020-03-02,,,133.0,
2020-03-03,13.6231,,85.0,164.244
2020-03-04,13.6122,,102.0,164.024
2020-03-05,13.4558,,115.0,162.591
2020-03-06,,,51.0,163.0
2020-03-07,,,84.0,163.0
2020-03-08,,,,
2020-03-09,,,58.0,
2020-03-10,14.0095,,58.0,167.441
2020-03-11,13.7578,,110.0,165.236
2020-03-12,13.7633,,65.0,165.347
2020-03-13,13.8694,,57.0,166.339
2020-03-14,,,76.0,
2020-03-15,,,60.0,163.0
2020-03-16,,,54.0,164.0
2020-03-17,13.6571,,60.0,164.355
2020-03-18,,,61.0,
2020-03-19,,,60.0,
2020-03-20,,,55.0,
2020-03-21,,,55.0,
2020-03-22,,,59.0,
2020-03-23,,,68.0,
2020-03-24,,,55.0,
2020-03-25,,,89.0,
2020-03-26,,,63.0,
2020-03-27,,,54.0,
2020-03-28,,,85.0,164.0
2020-03-29,,,61.0,
2020-03-30,,,54.0,
2020-03-31,,,69.0,
2020-04-01,,,56.0,
2020-04-02,,,54.0,
2020-04-03,,,,
2020-04-04,,,,164.0
2020-04-05,,,68.0,
2020-04-06,,,74.0,
2020-04-07,,,63.0,
2020-04-08,,,71.0,
2020-04-09,,,60.0,166.0
2020-04-10,,,60.0,
2020-04-11,,,53.0,166.0
2020-04-12,,,61.0,
2020-04-13,,,58.0,166.0
2020-04-14,,,63.0,
2020-04-15,,,57.0,
2020-04-16,,,52.0,
2020-04-17,,,56.0,165.0
2020-04-18,,,56.0,164.0
2020-04-19,,,62.0,
2020-04-20,,,61.0,
2020-04-21,,,56.0,
2020-04-22,,,58.0,
2020-04-23,,,55.0,166.0
2020-04-24,,,59.0,
2020-04-25,,,55.0,
2020-04-26,,,55.0,
2020-04-27,,,63.0,
2020-04-28,,,101.0,
2020-04-29,,,88.0,167.0
2020-04-30,,,63.0,
2020-05-01,,,111.0,167.0
2020-05-02,,,91.0,
2020-05-03,,,128.0,
2020-05-04,,,94.0,
2020-05-05,,,55.0,168.0
2020-05-06,,,61.0,
2020-05-07,,,55.0,166.0
2020-05-08,,,67.0,
2020-05-09,,,57.0,166.0
2020-05-10,,,60.0,165.0
2020-05-11,,,66.0,
2020-05-12,,,60.0,
2020-05-13,,,77.0,
2020-05-14,,,57.0,
2020-05-15,,,65.0,
2020-05-16,,,56.0,165.0
2020-05-17,,,58.0,
2020-05-18,,,58.0,165.0
2020-05-19,,,61.0,165.0
2020-05-20,,,61.0,
2020-05-21,,,60.0,
2020-05-22,,,60.0,
2020-05-23,,,54.0,
2020-05-24,,,49.0,
2020-05-25,,,53.0,
2020-05-26,,,58.0,
2020-05-27,,,59.0,
2020-05-28,,,60.0,
2020-05-29,,,59.0,
2020-05-30,,,51.0,166.0
2020-05-31,,,68.0,
2020-06-01,,,,
2020-06-02,,,59.0,
2020-06-03,,,55.0,165.0
2020-06-04,,,59.0,
2020-06-05,,,60.0,
2020-06-06,,,59.0,
2020-06-07,,,50.0,
2020-06-08,,,56.0,165.0
2020-06-09,,,58.0,
2020-06-10,,,53.0,165.0
2020-06-11,,,52.0,
2020-06-12,,,53.0,
2020-06-13,,,57.0,
2020-06-14,,,54.0,166.0
2020-06-15,,,49.0,
2020-06-16,,,52.0,
2020-06-17,,,61.0,166.0
2020-06-18,,,59.0,
2020-06-19,,,58.0,
2020-06-20,,,58.0,
2020-06-21,,,59.0,166.0
2020-06-22,,,64.0,
2020-06-23,,,53.0,
2020-06-24,,,66.0,
2020-06-25,,,54.0,
2020-06-26,,,60.0,
2020-06-27,,,51.0,
2020-06-28,,,51.0,
2020-06-29,,,50.0,
2020-06-30,,,54.0,
2020-07-01,,,60.0,
2020-07-02,,,57.0,
2020-07-03,,,68.0,
2020-07-04,,,50.0,
2020-07-05,,,66.0,
2020-07-06,,,56.0,163.0
2020-07-07,,,56.0,
2020-07-08,,,56.0,163.0
2020-07-09,13.9429,,60.0,166.669
2020-07-09,13.9429,,60.0,164.024
2020-07-09,13.6408,,60.0,166.669
2020-07-09,13.6408,,60.0,164.024
2020-07-10,,,55.0,
2020-07-11,13.5959,,54.0,163.693
2020-07-12,13.5347,,51.0,163.032
2020-07-13,13.6857,,52.0,164.355
2020-07-14,13.6014,,57.0,163.803
2020-07-15,13.6857,,70.0,164.355
2020-07-16,14.0993,,55.0,168.102
2020-07-16,14.0993,,55.0,164.465
2020-07-16,14.0993,,55.0,164.465
2020-07-16,14.0993,,55.0,164.465
2020-07-16,13.6912,,55.0,168.102
2020-07-16,13.6912,,55.0,164.465
2020-07-16,13.6912,,55.0,164.465
2020-07-16,13.6912,,55.0,164.465
2020-07-16,13.6912,,55.0,168.102
2020-07-16,13.6912,,55.0,164.465
2020-07-16,13.6912,,55.0,164.465
2020-07-16,13.6912,,55.0,164.465
2020-07-16,13.6912,,55.0,168.102
2020-07-16,13.6912,,55.0,164.465
2020-07-16,13.6912,,55.0,164.465
2020-07-16,13.6912,,55.0,164.465
2020-07-17,13.7864,,67.0,165.236
2020-07-17,13.7864,,67.0,165.236
2020-07-17,13.7864,,67.0,165.236
2020-07-17,13.7864,,67.0,165.236
2020-07-18,,,55.0,
2020-07-19,13.7469,,59.0,165.016
2020-07-19,13.7469,,59.0,165.0
2020-07-20,13.781,,79.0,165.126
2020-07-20,13.781,,79.0,165.126
2020-07-20,13.781,,79.0,165.126
2020-07-20,13.781,,79.0,165.126
2020-07-21,,,58.0,
2020-07-22,13.7864,,58.0,165.236
2020-07-23,,,57.0,
2020-07-24,,,69.0,
2020-07-25,13.8422,,52.0,165.788
2020-07-26,,,51.0,
2020-07-27,13.7361,,54.0,164.796
2020-07-28,13.9034,,55.0,166.449
2020-07-28,13.9034,,55.0,166.118
2020-07-28,13.8871,,55.0,166.449
2020-07-28,13.8871,,55.0,166.118
2020-07-29,13.9483,,51.0,166.78
2020-07-30,13.8422,,60.0,165.788
2020-07-31,13.5959,,60.0,163.693
2020-08-01,13.6912,,59.0,164.465
2020-08-02,,,60.0,
2020-08-03,13.7361,,53.0,164.796
2020-08-04,13.9878,,,167.0
2020-08-04,13.9878,,,165.236
2020-08-04,13.7864,,,167.0
2020-08-04,13.7864,,,165.236
2020-08-05,,,53.0,
2020-08-06,,,59.0,
2020-08-07,13.898,,53.0,166.339
2020-08-07,13.898,,53.0,165.788
2020-08-07,13.8422,,53.0,166.339
2020-08-07,13.8422,,53.0,165.788
2020-08-08,,,57.0,165.0
2020-08-09,,,56.0,
2020-08-10,13.8422,,57.0,165.788
2020-08-11,,,55.0,166.0
2020-08-12,13.781,,54.0,165.126
2020-08-13,,,53.0,
2020-08-14,13.6803,,59.0,164.244
2020-08-15,,,55.0,
2020-08-16,,,54.0,
2020-08-17,,,65.0,
2020-08-18,,,60.0,167.0
2020-08-19,13.8367,,50.0,165.677
2020-08-20,,,57.0,
2020-08-21,13.9483,,54.0,166.78
2020-08-21,13.9483,,54.0,166.669
2020-08-21,13.9429,,54.0,166.78
2020-08-21,13.9429,,54.0,166.669
2020-08-22,13.6857,,57.0,164.355
2020-08-23,,,56.0,
2020-08-24,13.5959,,60.0,163.693
2020-08-25,13.8816,,56.0,166.008
2020-08-26,,,54.0,
2020-08-27,,,57.0,
2020-08-28,13.898,,51.0,166.339
2020-08-29,13.702,,57.0,164.685
2020-08-30,,,58.0,
2020-08-31,,,53.0,
2020-09-01,13.7973,,56.0,165.457
2020-09-02,,,64.0,
2020-09-03,,,56.0,
2020-09-04,13.898,,71.0,166.339
2020-09-05,,,60.0,
2020-09-06,,,56.0,
2020-09-07,,,61.0,
2020-09-08,13.7306,,65.0,164.685
2020-09-09,,,54.0,
2020-09-10,,,78.0,
2020-09-11,13.7918,,56.0,165.347
2020-09-12,,,56.0,
2020-09-13,,,66.0,
2020-09-14,13.8313,,55.0,165.567
2020-09-14,13.8313,,55.0,165.567
2020-09-14,13.8027,,55.0,165.567
2020-09-14,13.8027,,55.0,165.567
