Date,Weight(lbs)
2018-10-15,null
2018-10-16,null
2018-10-17,null
2018-10-18,null
2018-10-19,null
2018-10-20,null
2018-10-21,null
2018-10-22,null
2018-10-23,null
2018-10-24,null
2018-10-25,null
2018-10-26,null
2018-10-27,null
2018-10-28,null
2018-10-29,null
2018-10-30,null
2018-10-31,null
2018-11-01,null
2018-11-02,169.0
2018-11-03,null
2018-11-04,167.0
2018-11-05,169.0
2018-11-06,null
2018-11-07,170.0
2018-11-08,171.0
2018-11-09,null
2018-11-10,170.0
2018-11-11,169.0
2018-11-12,null
2018-11-13,168.0
2018-11-14,null
2018-11-15,null
2018-11-16,null
2018-11-17,null
2018-11-18,170.0
2018-11-19,169.0
2018-11-20,null
2018-11-21,167.0
2018-11-22,null
2018-11-23,null
2018-11-24,null
2018-11-25,169.0
2018-11-26,170.0
2018-11-27,171.0
2018-11-28,171.0
2018-11-29,169.0
2018-11-30,171.0
2018-12-01,169.0
2018-12-02,167.0
2018-12-03,null
2018-12-04,null
2018-12-05,null
2018-12-06,null
2018-12-07,null
2018-12-08,168.0
2018-12-09,null
2018-12-10,null
2018-12-11,null
2018-12-12,null
2018-12-13,null
2018-12-14,null
2018-12-15,170.0
2018-12-16,170.0
2018-12-17,171.0
2018-12-18,null
2018-12-19,170.0
2018-12-20,null
2018-12-21,170.0
2018-12-22,170.0
2018-12-23,null
2018-12-24,null
2018-12-25,null
2018-12-26,170.0
2018-12-27,null
2018-12-28,null
2018-12-29,171.0
2018-12-30,169.0
2018-12-31,169.0
2019-01-01,null
2019-01-02,null
2019-01-03,null
2019-01-04,171.0
2019-01-05,172.0
2019-01-06,171.0
2019-01-07,169.0
2019-01-08,null
2019-01-09,null
2019-01-10,null
2019-01-11,null
2019-01-12,169.0
2019-01-13,null
2019-01-14,null
2019-01-15,null
2019-01-16,170.0
2019-01-17,170.0
2019-01-18,null
2019-01-19,167.0
2019-01-20,null
2019-01-21,169.0
2019-01-22,null
2019-01-23,null
2019-01-24,null
2019-01-25,null
2019-01-26,167.0
2019-01-27,168.0
2019-01-28,null
2019-01-29,null
2019-01-30,null
2019-01-31,168.0
2019-02-01,null
2019-02-02,166.0
2019-02-03,168.0
2019-02-04,null
2019-02-05,null
2019-02-06,null
2019-02-07,null
2019-02-08,null
2019-02-09,null
2019-02-10,170.0
2019-02-11,172.0
2019-02-12,170.0
2019-02-13,169.0
2019-02-14,null
2019-02-15,null
2019-02-16,null
2019-02-17,null
2019-02-18,null
2019-02-19,171.0
2019-02-20,null
2019-02-21,null
2019-02-22,null
2019-02-23,null
2019-02-24,169.0
2019-02-25,null
2019-02-26,172.0
2019-02-27,null
2019-02-28,null
2019-03-01,null
2019-03-02,null
2019-03-03,170.0
2019-03-04,null
2019-03-05,null
2019-03-06,null
2019-03-07,null
2019-03-08,172.0
2019-03-09,171.0
2019-03-09,169.0
2019-03-10,null
2019-03-11,null
2019-03-12,171.0
2019-03-13,null
2019-03-14,null
2019-03-15,null
2019-03-16,null
2019-03-17,171.0
2019-03-18,null
2019-03-19,null
2019-03-20,null
2019-03-21,170.0
2019-03-22,null
2019-03-23,169.0
2019-03-24,170.0
2019-03-25,null
2019-03-26,169.0
2019-03-27,168.0
2019-03-28,null
2019-03-29,null
2019-03-30,168.0
2019-03-31,167.0
2019-04-01,170.0
2019-04-02,null
2019-04-03,null
2019-04-04,null
2019-04-05,null
2019-04-06,170.0
2019-04-07,null
2019-04-08,null
2019-04-09,null
2019-04-10,null
2019-04-11,171.0
2019-04-12,null
2019-04-13,null
2019-04-14,null
2019-04-15,null
2019-04-16,null
2019-04-17,null
2019-04-18,null
2019-04-19,null
2019-04-20,171.0
2019-04-21,170.0
2019-04-22,null
2019-04-23,null
2019-04-24,169.0
2019-04-25,null
2019-04-26,null
2019-04-27,null
2019-04-28,null
2019-04-29,null
2019-04-30,171.0
2019-05-01,172.0
2019-05-02,169.0
2019-05-03,169.0
2019-05-03,168.0
2019-05-04,166.0
2019-05-05,167.0
2019-05-06,null
2019-05-07,null
2019-05-08,null
2019-05-09,null
2019-05-10,null
2019-05-11,167.0
2019-05-12,168.0
2019-05-13,null
2019-05-14,null
2019-05-15,null
2019-05-16,null
2019-05-17,null
2019-05-18,169.0
2019-05-19,null
2019-05-20,null
2019-05-21,null
2019-05-22,null
2019-05-23,null
2019-05-24,null
2019-05-25,null
2019-05-26,null
2019-05-27,null
2019-05-28,null
2019-05-29,null
2019-05-30,null
2019-05-31,167.0
2019-06-01,null
2019-06-02,null
2019-06-03,null
2019-06-04,null
2019-06-05,null
2019-06-06,null
2019-06-07,null
2019-06-08,167.0
2019-06-09,168.0
2019-06-10,null
2019-06-11,null
2019-06-12,null
2019-06-13,null
2019-06-14,167.0
2019-06-15,165.0
2019-06-16,164.0
2019-06-17,null
2019-06-18,null
2019-06-19,null
2019-06-20,167.0
2019-06-21,166.0
2019-06-22,165.0
2019-06-23,167.0
2019-06-23,165.0
2019-06-24,166.0
2019-06-25,166.0
2019-06-26,null
2019-06-27,null
2019-06-28,null
2019-06-29,166.0
2019-06-30,166.0
2019-07-01,168.0
2019-07-02,167.0
2019-07-03,null
2019-07-04,164.0
2019-07-05,null
2019-07-06,165.0
2019-07-07,164.0
2019-07-08,166.0
2019-07-09,null
2019-07-10,null
2019-07-11,165.0
2019-07-12,null
2019-07-13,165.0
2019-07-14,165.0
2019-07-15,null
2019-07-16,null
2019-07-17,null
2019-07-18,null
2019-07-19,null
2019-07-20,165.0
2019-07-21,165.0
2019-07-22,166.0
2019-07-23,null
2019-07-24,null
2019-07-25,null
2019-07-26,null
2019-07-27,null
2019-07-28,null
2019-07-29,null
2019-07-30,null
2019-07-31,null
2019-08-01,null
2019-08-02,null
2019-08-03,null
2019-08-04,null
2019-08-05,null
2019-08-06,null
2019-08-07,166.0
2019-08-08,165.0
2019-08-09,null
2019-08-10,null
2019-08-11,null
2019-08-12,166.0
2019-08-13,null
2019-08-14,null
2019-08-15,null
2019-08-16,null
2019-08-17,163.0
2019-08-18,164.0
2019-08-19,null
2019-08-20,null
2019-08-21,null
2019-08-22,163.0
2019-08-23,null
2019-08-24,null
2019-08-25,164.0
2019-08-26,null
2019-08-27,165.0
2019-08-28,null
2019-08-29,164.0
2019-08-30,null
2019-08-31,163.0
2019-09-01,162.0
2019-09-02,163.0
2019-09-03,null
2019-09-04,null
2019-09-05,null
2019-09-06,null
2019-09-07,162.0
2019-09-08,163.0
2019-09-09,164.0
2019-09-10,164.0
2019-09-11,164.0
2019-09-12,null
2019-09-13,null
2019-09-14,163.0
2019-09-15,163.0
2019-09-16,null
2019-09-17,null
2019-09-18,null
2019-09-19,null
2019-09-20,null
2019-09-21,162.0
2019-09-22,162.0
2019-09-23,null
2019-09-24,162.0
2019-09-25,null
2019-09-26,null
2019-09-27,null
2019-09-28,160.0
2019-09-29,null
2019-09-30,null
2019-10-01,null
2019-10-02,null
2019-10-03,null
2019-10-04,null
2019-10-05,null
2019-10-06,null
2019-10-07,null
2019-10-08,null
2019-10-09,null
2019-10-10,null
2019-10-11,null
2019-10-12,null
2019-10-13,null
2019-10-14,null
2019-10-15,null
2019-10-16,null
2019-10-17,null
2019-10-18,null
2019-10-19,null
2019-10-20,null
2019-10-21,null
2019-10-22,null
2019-10-23,null
2019-10-24,null
2019-10-25,null
2019-10-26,null
2019-10-27,null
2019-10-28,null
2019-10-29,null
2019-10-30,null
2019-10-31,null
2019-11-01,null
2019-11-02,null
2019-11-03,null
2019-11-04,null
2019-11-05,null
2019-11-06,null
2019-11-07,null
2019-11-08,null
2019-11-09,null
2019-11-10,null
2019-11-11,null
2019-11-12,null
2019-11-13,null
2019-11-14,null
2019-11-15,null
2019-11-16,null
2019-11-17,null
2019-11-18,null
2019-11-19,null
2019-11-20,null
2019-11-21,null
2019-11-22,null
2019-11-23,null
2019-11-24,null
2019-11-25,null
2019-11-26,null
2019-11-27,null
2019-11-28,null
2019-11-29,null
2019-11-30,null
2019-12-01,null
2019-12-02,null
2019-12-03,null
2019-12-04,null
2019-12-05,null
2019-12-06,null
2019-12-07,null
2019-12-08,null
2019-12-09,null
2019-12-10,null
2019-12-11,null
2019-12-12,null
2019-12-13,null
2019-12-14,null
2019-12-15,null
2019-12-16,null
2019-12-17,null
2019-12-18,null
2019-12-19,null
2019-12-20,null
2019-12-21,null
2019-12-22,null
2019-12-23,null
2019-12-24,null
2019-12-25,null
2019-12-26,null
2019-12-27,null
2019-12-28,null
2019-12-29,null
2019-12-30,null
2019-12-31,null
2020-01-01,null
2020-01-02,null
2020-01-03,null
2020-01-04,165.0
2020-01-05,172.842
2020-01-05,172.842
2020-01-05,168.874
2020-01-06,167.221
2020-01-06,167.221
2020-01-07,165.677
2020-01-08,165.677
2020-01-09,164.134
2020-01-10,164.024
2020-01-10,164.024
2020-01-10,164.024
2020-01-11,null
2020-01-12,null
2020-01-13,null
2020-01-14,164.685
2020-01-15,164.685
2020-01-16,162.591
2020-01-17,163.914
2020-01-18,null
2020-01-19,null
2020-01-20,null
2020-01-21,null
2020-01-22,165.567
2020-01-23,164.134
2020-01-24,165.347
2020-01-25,163.0
2020-01-26,null
2020-01-27,null
2020-01-28,164.796
2020-01-29,166.449
2020-01-30,164.465
2020-01-31,168.984
2020-02-01,null
2020-02-02,164.0
2020-02-03,null
2020-02-04,163.583
2020-02-05,164.244
2020-02-06,162.37
2020-02-07,162.04
2020-02-08,164.134
2020-02-09,null
2020-02-10,163.252
2020-02-11,164.024
2020-02-12,null
2020-02-13,162.37
2020-02-14,null
2020-02-15,163.0
2020-02-16,null
2020-02-17,null
2020-02-18,165.567
2020-02-19,163.363
2020-02-20,null
2020-02-21,null
2020-02-22,163.0
2020-02-23,null
2020-02-24,null
2020-02-25,161.709
2020-02-26,162.922
2020-02-27,163.032
2020-02-28,163.473
2020-02-29,null
2020-03-01,163.8
2020-03-02,null
2020-03-03,164.244
2020-03-04,164.024
2020-03-05,162.591
2020-03-06,163.0
2020-03-07,163.0
2020-03-08,null
2020-03-09,null
2020-03-10,167.441
2020-03-11,165.236
2020-03-12,165.347
2020-03-13,166.339
2020-03-14,null
2020-03-15,163.0
2020-03-16,164.0
2020-03-17,164.355
2020-03-18,null
2020-03-19,null
2020-03-20,null
2020-03-21,null
2020-03-22,null
2020-03-23,null
2020-03-24,null
2020-03-25,null
2020-03-26,null
2020-03-27,null
2020-03-28,164.0
2020-03-29,null
2020-03-30,null
2020-03-31,null
2020-04-01,null
2020-04-02,null
2020-04-03,null
2020-04-04,164.0
2020-04-05,null
2020-04-06,null
2020-04-07,null
2020-04-08,null
2020-04-09,166.0
2020-04-10,null
2020-04-11,166.0
2020-04-12,null
2020-04-13,166.0
2020-04-14,null
2020-04-15,null
2020-04-16,null
2020-04-17,165.0
2020-04-18,164.0
2020-04-19,null
2020-04-20,null
2020-04-21,null
2020-04-22,null
2020-04-23,166.0
2020-04-24,null
2020-04-25,null
2020-04-26,null
2020-04-27,null
2020-04-28,null
2020-04-29,167.0
2020-04-30,null
2020-05-01,167.0
2020-05-02,null
2020-05-03,null
2020-05-04,null
2020-05-05,168.0
2020-05-06,null
2020-05-07,166.0
2020-05-08,null
2020-05-09,166.0
2020-05-10,165.0
2020-05-11,null
2020-05-12,null
2020-05-13,null
2020-05-14,null
2020-05-15,null
2020-05-16,165.0
2020-05-17,null
2020-05-18,165.0
2020-05-19,165.0
2020-05-20,null
2020-05-21,null
2020-05-22,null
2020-05-23,null
2020-05-24,null
2020-05-25,null
2020-05-26,null
2020-05-27,null
2020-05-28,null
2020-05-29,null
2020-05-30,166.0
2020-05-31,null
2020-06-01,null
2020-06-02,null
2020-06-03,165.0
2020-06-04,null
2020-06-05,null
2020-06-06,null
2020-06-07,null
2020-06-08,165.0
2020-06-09,null
2020-06-10,165.0
2020-06-11,null
2020-06-12,null
2020-06-13,null
2020-06-14,166.0
2020-06-15,null
2020-06-16,null
2020-06-17,166.0
2020-06-18,null
2020-06-19,null
2020-06-20,null
2020-06-21,166.0
2020-06-22,null
2020-06-23,null
2020-06-24,null
2020-06-25,null
2020-06-26,null
2020-06-27,null
2020-06-28,null
2020-06-29,null
2020-06-30,null
2020-07-01,null
2020-07-02,null
2020-07-03,null
2020-07-04,null
2020-07-05,null
2020-07-06,163.0
2020-07-07,null
2020-07-08,163.0
2020-07-09,166.669
2020-07-09,164.024
2020-07-10,null
2020-07-11,163.693
2020-07-12,163.032
2020-07-13,164.355
2020-07-14,163.803
2020-07-15,164.355
2020-07-16,168.102
2020-07-16,164.465
2020-07-16,164.465
2020-07-16,164.465
2020-07-17,165.236
2020-07-17,165.236
2020-07-18,null
2020-07-19,165.016
2020-07-19,165.0
2020-07-20,165.126
2020-07-20,165.126
2020-07-21,null
2020-07-22,165.236
2020-07-23,null
2020-07-24,null
2020-07-25,165.788
2020-07-26,null
2020-07-27,164.796
2020-07-28,166.449
2020-07-28,166.118
2020-07-29,166.78
2020-07-30,165.788
2020-07-31,163.693
2020-08-01,164.465
2020-08-02,null
2020-08-03,164.796
2020-08-04,167.0
2020-08-04,165.236
2020-08-05,null
2020-08-06,null
2020-08-07,166.339
2020-08-07,165.788
2020-08-08,165.0
2020-08-09,null
2020-08-10,165.788
2020-08-11,166.0
2020-08-12,165.126
2020-08-13,null
2020-08-14,164.244
2020-08-15,null
2020-08-16,null
2020-08-17,null
2020-08-18,167.0
2020-08-19,165.677
2020-08-20,null
2020-08-21,166.78
2020-08-21,166.669
2020-08-22,164.355
2020-08-23,null
2020-08-24,163.693
2020-08-25,166.008
2020-08-26,null
2020-08-27,null
2020-08-28,166.339
2020-08-29,164.685
2020-08-30,null
2020-08-31,null
2020-09-01,165.457
2020-09-02,null
2020-09-03,null
2020-09-04,166.339
2020-09-05,null
2020-09-06,null
2020-09-07,null
2020-09-08,164.685
2020-09-09,null
2020-09-10,null
2020-09-11,165.347
2020-09-12,null
2020-09-13,null
2020-09-14,165.567
2020-09-14,165.567
2020-09-15,null
2020-09-16,null
2020-09-17,null
2020-09-18,null
2020-09-19,null
2020-09-20,167.882
2020-09-20,164.465
2020-09-20,164.465
2020-09-20,164.465
2020-09-20,164.465
2020-09-21,null
2020-09-22,167.221
2020-09-22,167.221
2020-09-23,167.992
2020-09-24,null
2020-09-25,null
2020-09-26,null
2020-09-27,null
2020-09-28,null
2020-09-29,null
2020-09-30,null
2020-10-01,null
2020-10-02,null
2020-10-03,null
2020-10-04,null
2020-10-05,null
2020-10-06,null
2020-10-07,null
2020-10-08,null
2020-10-09,166.89
2020-10-09,166.89
2020-10-10,null
2020-10-11,null
2020-10-12,null
2020-10-13,null
2020-10-14,null
2020-10-15,169.756
2020-10-15,169.095
2020-10-16,null
2020-10-17,164.685
2020-10-18,165.898
2020-10-18,165.457
2020-10-19,165.788
2020-10-20,165.6
2020-10-21,null
2020-10-22,167.772
2020-10-22,167.772
2020-10-23,null
2020-10-24,null
2020-10-25,null
2020-10-26,null
2020-10-27,null
2020-10-28,null
2020-10-29,null
2020-10-30,null
2020-10-31,null
2020-11-01,167.441
2020-11-02,null
2020-11-03,167.772
2020-11-04,null
2020-11-05,null
2020-11-06,null
2020-11-07,null
2020-11-08,null
2020-11-09,null
2020-11-10,null
2020-11-11,null
2020-11-12,null
2020-11-13,null
2020-11-14,null
2020-11-15,null
2020-11-16,null
2020-11-17,null
2020-11-18,169.866
2020-11-19,null
2020-11-20,null
2020-11-21,null
2020-11-22,null
2020-11-23,null
2020-11-24,null
2020-11-25,null
2020-11-26,null
2020-11-27,null
2020-11-28,null
2020-11-29,null
2020-11-30,170.748
2020-12-01,172.291
2020-12-02,170.087
2020-12-03,169.646
2020-12-04,169.315
2020-12-04,168.984
2020-12-04,168.984
2020-12-05,null
2020-12-06,168.874
2020-12-07,null
2020-12-08,null
2020-12-09,170.197
2020-12-10,171.299
2020-12-11,170.087
2020-12-11,170.087
2020-12-12,null
2020-12-13,null
2020-12-14,null
2020-12-15,null
2020-12-16,169.866
2020-12-16,169.866
2020-12-17,168.323
2020-12-18,167.221
2020-12-19,null
2020-12-20,167.331
2020-12-21,null
2020-12-22,null
2020-12-23,null
2020-12-24,null
2020-12-25,null
2020-12-26,null
2020-12-27,null
2020-12-28,null
2020-12-29,null
2020-12-30,null
2020-12-31,null
2021-01-01,null
2021-01-02,null
2021-01-03,null
2021-01-04,166.8
2021-01-05,null
2021-01-06,166.2
2021-01-07,null
2021-01-08,null
2021-01-09,null
2021-01-10,166.6
2021-01-11,166.0
2021-01-12,null
2021-01-13,null
2021-01-14,null
2021-01-15,null
2021-01-16,null
2021-01-17,null
2021-01-18,null
2021-01-19,167.6
2021-01-20,null
2021-01-21,null
2021-01-22,null
2021-01-23,null
2021-01-24,null
2021-01-25,null
2021-01-26,168.6
2021-01-27,null
2021-01-28,null
2021-01-29,null
2021-01-30,null
2021-01-31,null
2021-02-01,null
2021-02-02,null
2021-02-03,null
2021-02-04,null
2021-02-05,null
2021-02-06,null
2021-02-07,null
2021-02-08,null
2021-02-09,null
2021-02-10,null
2021-02-11,null
2021-02-12,null
2021-02-13,null
2021-02-14,null
2021-02-15,null
2021-02-16,null
2021-02-17,null
2021-02-18,null
2021-02-19,null
2021-02-20,null
2021-02-21,null
2021-02-22,null
2021-02-23,null
2021-02-24,null
2021-02-25,null
2021-02-26,null
2021-02-27,null
2021-02-28,null
2021-03-01,null
2021-03-02,null
2021-03-03,null
2021-03-04,null
2021-03-05,null
2021-03-06,null
2021-03-07,null
2021-03-08,null
2021-03-09,null
2021-03-10,null
2021-03-11,null
2021-03-12,null
2021-03-13,null
2021-03-14,null
2021-03-15,null
2021-03-16,null
2021-03-17,null
2021-03-18,null
2021-03-19,null
2021-03-20,null
2021-03-21,null
2021-03-22,null
2021-03-23,null
2021-03-24,null
2021-03-25,null
2021-03-26,null
2021-03-27,null
2021-03-28,null
2021-03-29,null
2021-03-30,null
2021-03-31,null
2021-04-01,null
2021-04-02,null
2021-04-03,null
2021-04-04,null
2021-04-05,null
2021-04-06,null
2021-04-07,null
2021-04-08,null
2021-04-09,null
2021-04-10,null
2021-04-11,null
2021-04-12,null
2021-04-13,null
2021-04-14,null
2021-04-15,null
2021-04-16,null
2021-04-17,null
2021-04-18,null
2021-04-19,null
2021-04-20,null
2021-04-21,null
2021-04-22,null
2021-04-23,null
2021-04-24,null
2021-04-25,null
2021-04-26,null
2021-04-27,null
2021-04-28,null
2021-04-29,null
2021-04-30,null
2021-05-01,null
2021-05-02,null
2021-05-03,173.0
2021-05-04,null
2021-05-05,null
2021-05-06,null
2021-05-07,null
2021-05-08,null
2021-05-09,null
2021-05-10,null
2021-05-11,null
2021-05-12,null
2021-05-13,null
2021-05-14,null
2021-05-15,null
2021-05-16,null
2021-05-17,null
2021-05-18,null
2021-05-19,170.0
2021-05-20,null
2021-05-21,null
2021-05-22,null
2021-05-23,null
2021-05-24,null
2021-05-25,null
2021-05-26,null
2021-05-27,null
2021-05-28,null
2021-05-29,null
2021-05-30,null
2021-05-31,170.0
2021-06-01,null
2021-06-02,170.0
2021-06-03,null
2021-06-04,null
2021-06-05,null
2021-06-06,null
2021-06-07,null
2021-06-08,null
2021-06-09,null
2021-06-10,null
2021-06-11,null
2021-06-12,null
2021-06-13,null
2021-06-14,null
2021-06-15,167.0
2021-06-16,null
2021-06-17,167.0
2021-06-18,null
2021-06-19,null
2021-06-20,null
2021-06-21,null
2021-06-22,null
2021-06-23,null
2021-06-24,null
2021-06-25,null
2021-06-26,null
2021-06-27,null
2021-06-28,null
2021-06-29,null
2021-06-30,null
2021-07-01,null
2021-07-02,null
2021-07-03,null
2021-07-04,null
2021-07-05,null
2021-07-06,null
2021-07-07,null
2021-07-08,null
2021-07-09,null
2021-07-10,null
2021-07-11,null
2021-07-12,166.6
2021-07-13,null
2021-07-14,null
2021-07-15,null
2021-07-16,null
2021-07-17,null
2021-07-18,null
2021-07-19,null
2021-07-20,null
2021-07-21,null
2021-07-22,167.0
2021-07-23,null
2021-07-24,null
2021-07-25,null
2021-07-26,null
2021-07-27,null
2021-07-28,null
2021-07-29,null
2021-07-30,null
2021-07-31,null
2021-08-01,null
2021-08-02,null
2021-08-03,null
2021-08-04,null
2021-08-05,null
2021-08-06,null
2021-08-07,null
2021-08-08,null
2021-08-09,167.0
2021-08-10,null
2021-08-11,null
2021-08-12,null
2021-08-13,null
2021-08-14,null
2021-08-15,null
2021-08-16,null
2021-08-17,null
2021-08-18,null
2021-08-19,null
2021-08-20,null
2021-08-21,null
2021-08-22,null
2021-08-23,null
2021-08-24,null
2021-08-25,null
2021-08-26,null
2021-08-27,null
2021-08-28,null
2021-08-29,null
2021-08-30,null
2021-08-31,null
2021-09-01,null
2021-09-02,null
2021-09-03,null
2021-09-04,null
2021-09-05,null
2021-09-06,null
2021-09-07,null
2021-09-08,null
2021-09-09,null
2021-09-10,null
2021-09-11,null
2021-09-12,null
2021-09-13,null
2021-09-14,null
2021-09-15,null
2021-09-16,null
2021-09-17,null
2021-09-18,null
2021-09-19,null
2021-09-20,null
2021-09-21,null
2021-09-22,166.4
2021-09-23,null
2021-09-24,null
2021-09-25,null
2021-09-26,null
2021-09-27,null
2021-09-28,null
2021-09-29,null
2021-09-30,null
2021-10-01,null
2021-10-02,null
2021-10-03,null
2021-10-04,null
2021-10-05,null
2021-10-06,null
2021-10-07,null
2021-10-08,null
2021-10-09,null
2021-10-10,null
2021-10-11,null
2021-10-12,null
2021-10-13,null
2021-10-14,null
2021-10-15,null
2021-10-16,null
2021-10-17,null
2021-10-18,null
2021-10-19,null
2021-10-20,null
2021-10-21,null
2021-10-22,null
2021-10-23,null
2021-10-24,null
2021-10-25,null
2021-10-26,null
2021-10-27,null
2021-10-28,null
2021-10-29,null
2021-10-30,null
2021-10-31,null
2021-11-01,null
2021-11-02,null
2021-11-03,null
2021-11-04,null
2021-11-05,null
2021-11-06,null
2021-11-07,null
2021-11-08,null
2021-11-09,null
2021-11-10,null
2021-11-11,null
2021-11-12,null
2021-11-13,null
2021-11-14,null
2021-11-15,null
2021-11-16,null
2021-11-17,null
2021-11-18,null
2021-11-19,null
2021-11-20,null
2021-11-21,null
2021-11-22,null
2021-11-23,null
2021-11-24,null
2021-11-25,null
2021-11-26,null
2021-11-27,null
2021-11-28,null
2021-11-29,null
2021-11-30,null
2021-12-01,null
2021-12-02,null
2021-12-03,null
2021-12-04,null
2021-12-05,null
2021-12-06,null
2021-12-07,null
2021-12-08,null
2021-12-09,null
2021-12-10,null
2021-12-11,null
2021-12-12,null
2021-12-13,null
2021-12-14,null
2021-12-15,null
2021-12-16,null
2021-12-17,null
2021-12-18,null
2021-12-19,null
2021-12-20,null
2021-12-21,null
2021-12-22,null
2021-12-23,null
2021-12-24,null
2021-12-25,null
2021-12-26,null
2021-12-27,null
2021-12-28,null
2021-12-29,null
2021-12-30,null
2021-12-31,null
2022-01-01,null
2022-01-02,null
2022-01-03,null
2022-01-04,null
2022-01-05,null
2022-01-06,null
2022-01-07,null
2022-01-08,null
2022-01-09,null
2022-01-10,null
2022-01-11,null
2022-01-12,null
2022-01-13,null
2022-01-14,null
2022-01-15,null
2022-01-16,null
2022-01-17,null
2022-01-18,null
2022-01-19,null
2022-01-20,null
2022-01-21,null
2022-01-22,null
2022-01-23,null
2022-01-24,null
2022-01-25,null
2022-01-26,null
2022-01-27,null
2022-01-28,null
2022-01-29,null
2022-01-30,null
2022-01-31,null
2022-02-01,null
2022-02-02,null
2022-02-03,null
2022-02-04,null
2022-02-05,null
2022-02-06,null
2022-02-07,null
2022-02-08,null
2022-02-09,null
2022-02-10,null
2022-02-11,null
2022-02-12,null
2022-02-13,null
2022-02-14,null
2022-02-15,null
2022-02-16,null
2022-02-17,null
2022-02-18,null
2022-02-19,null
2022-02-20,null
2022-02-21,null
2022-02-22,null
2022-02-23,null
2022-02-24,null
2022-02-25,null
2022-02-26,null
2022-02-27,null
2022-02-28,null
2022-03-01,null
2022-03-02,null
2022-03-03,null
2022-03-04,null
2022-03-05,null
2022-03-06,null
2022-03-07,null
2022-03-08,null
2022-03-09,null
2022-03-10,null
2022-03-11,null
2022-03-12,null
2022-03-13,null
2022-03-14,null
2022-03-15,null
2022-03-16,null
2022-03-17,null
2022-03-18,null
2022-03-19,null
2022-03-20,null
2022-03-21,null
2022-03-22,null
2022-03-23,null
2022-03-24,null
2022-03-25,null
2022-03-26,null
2022-03-27,null
2022-03-28,null
2022-03-29,null
2022-03-30,null
2022-03-31,null
2022-04-01,null
2022-04-02,null
2022-04-03,null
2022-04-04,null
2022-04-05,null
2022-04-06,null
2022-04-07,null
2022-04-08,null
2022-04-09,null
2022-04-10,null
2022-04-11,null
2022-04-12,null
2022-04-13,null
2022-04-14,null
2022-04-15,null
2022-04-16,null
2022-04-17,null
2022-04-18,null
2022-04-19,null
2022-04-20,null
2022-04-21,null
2022-04-22,null
2022-04-23,null
2022-04-24,null
2022-04-25,null
2022-04-26,null
2022-04-27,null
2022-04-28,null
2022-04-29,null
2022-04-30,null
2022-05-01,null
2022-05-02,null
2022-05-03,null
2022-05-04,null
2022-05-05,null
2022-05-06,null
2022-05-07,null
2022-05-08,null
2022-05-09,null
2022-05-10,null
2022-05-11,null
2022-05-12,null
2022-05-13,null
2022-05-14,null
2022-05-15,null
2022-05-16,null
2022-05-17,null
2022-05-18,null
2022-05-19,null
2022-05-20,null
2022-05-21,null
2022-05-22,null
2022-05-23,null
2022-05-24,null
2022-05-25,null
2022-05-26,null
2022-05-27,null
2022-05-28,null
2022-05-29,null
2022-05-30,null
2022-05-31,null
2022-06-01,null
2022-06-02,null
2022-06-03,null
2022-06-04,null
2022-06-05,null
2022-06-06,null
2022-06-07,null
2022-06-08,null
2022-06-09,null
2022-06-10,null
2022-06-11,null
2022-06-12,162.0
2022-06-13,null
2022-06-14,null
